WsWaIdx,DateHrGmt,DateHrLwt,FcastHr,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
39899,2014-07-31-09,2014-07-31-03,0,64.4,57.1,59.7,77,994.2,1,63.5,63.5,11,200,0.00,0,0,0,13
39899,2014-07-31-10,2014-07-31-04,0,62.6,58.9,60.3,88,994.6,1,61.2,61.2,11,210,0.00,0,0,0,13
39899,2014-07-31-11,2014-07-31-05,0,64.4,60.7,62.0,88,994.6,1,63.5,63.5,11,220,0.00,0,0,0,13
39899,2014-07-31-12,2014-07-31-06,0,68.0,57.1,61.0,68,994.9,1,68.0,68.0,10,240,0.00,66,55,84,12
39899,2014-07-31-13,2014-07-31-07,0,73.4,55.4,61.9,53,994.9,0,73.4,76.6,8,230,0.00,231,103,415,9
39899,2014-07-31-14,2014-07-31-08,0,75.2,59.0,64.5,57,994.9,0,75.2,77.7,9,250,0.00,419,108,638,10
39899,2014-07-31-15,2014-07-31-09,0,78.8,60.8,66.7,54,994.9,0,78.8,80.3,8,240,0.00,598,167,667,9
39899,2014-07-31-16,2014-07-31-10,0,82.4,59.0,66.8,45,994.9,0,82.4,82.9,8,270,0.00,748,207,698,9
39899,2014-07-31-17,2014-07-31-11,0,82.4,57.3,65.8,42,994.9,0,82.4,82.5,7,290,0.00,854,221,732,8
39899,2014-07-31-18,2014-07-31-12,0,84.2,57.3,66.5,40,994.6,0,84.2,84.2,7,260,0.00,912,242,735,8
39899,2014-07-31-19,2014-07-31-13,0,84.0,57.9,65.4,41,1016.8,0,84.0,84.0,7,250,0.00,912,238,741,8
39899,2014-07-31-20,2014-07-31-14,0,84.2,57.3,66.5,40,1016.8,0,84.2,84.2,7,260,0.00,854,211,749,8
39899,2014-07-31-21,2014-07-31-15,0,84.2,57.3,66.5,40,993.9,35,84.2,84.2,6,280,0.00,745,166,758,7
39899,2014-07-31-22,2014-07-31-16,0,82.4,57.3,65.8,42,993.9,48,82.4,82.5,5,280,0.03,593,158,688,6
39899,2014-07-31-23,2014-07-31-17,0,82.4,57.3,65.8,42,994.2,56,82.4,82.5,5,280,0.03,416,91,689,6
39899,2014-08-01-00,2014-07-31-18,0,80.6,57.2,65.3,45,994.2,34,80.6,81.0,7,260,0.00,236,116,411,8
39899,2014-08-01-01,2014-07-31-19,0,77.0,59.0,65.2,54,994.6,9,77.0,78.8,8,250,0.00,69,52,155,9
39899,2014-08-01-02,2014-07-31-20,0,71.1,63.6,64.7,77,995.5,1,71.1,76.0,9,240,0.00,0,0,0,10
39899,2014-08-01-03,2014-07-31-21,0,73.4,62.5,66.1,69,994.9,0,73.4,77.0,10,220,0.00,0,0,0,12
39899,2014-08-01-04,2014-07-31-22,0,71.6,62.5,65.4,73,994.9,3,71.6,76.2,9,240,0.00,0,0,0,10
39899,2014-08-01-05,2014-07-31-23,0,71.6,62.5,65.4,73,995.2,0,71.6,76.2,9,220,0.00,0,0,0,10
39899,2014-08-01-06,2014-08-01-00,0,71.6,62.5,65.4,73,995.2,2,71.6,76.2,9,210,0.00,0,0,0,10
39899,2014-08-01-07,2014-08-01-01,0,69.8,62.5,64.9,78,995.2,0,69.8,69.8,6,230,0.00,0,0,0,7
39899,2014-08-01-08,2014-08-01-02,0,68.0,62.5,64.4,83,995.5,0,68.0,68.0,7,240,0.00,0,0,0,8
39899,2014-08-01-09,2014-08-01-03,0,66.2,62.5,63.7,88,995.5,0,66.2,66.2,7,250,0.00,0,0,0,8
39899,2014-08-01-10,2014-08-01-04,0,68.0,62.5,64.4,83,995.9,0,68.0,68.0,8,240,0.00,0,0,0,9
39899,2014-08-01-11,2014-08-01-05,0,69.8,62.5,64.9,78,995.9,0,69.8,69.8,9,240,0.00,0,0,0,10
39899,2014-08-01-12,2014-08-01-06,0,73.4,59.0,64.0,61,996.5,0,73.4,76.9,8,250,0.00,60,52,66,9
39899,2014-08-01-13,2014-08-01-07,0,73.4,60.7,65.1,65,996.2,0,73.4,76.9,7,260,0.00,231,100,426,8
39899,2014-08-01-14,2014-08-01-08,0,75.2,57.2,63.7,54,996.5,0,75.2,77.5,6,220,0.00,419,107,645,7
39899,2014-08-01-15,2014-08-01-09,0,82.4,57.3,65.8,42,996.5,0,82.4,82.5,4,210,0.00,595,172,657,5
39899,2014-08-01-16,2014-08-01-10,0,80.6,57.2,65.3,45,996.5,1,80.6,81.0,3,250,0.00,747,199,709,3
39899,2014-08-01-17,2014-08-01-11,0,71.6,60.7,64.5,69,996.2,1,71.6,76.2,2,230,0.00,852,198,757,2
39899,2014-08-01-18,2014-08-01-12,0,80.6,64.4,69.4,58,995.5,1,80.6,82.7,2,230,0.00,910,216,762,2
39899,2014-08-01-19,2014-08-01-13,0,75.2,64.3,67.7,69,995.9,2,75.2,78.2,4,240,0.00,906,207,770,5
39899,2014-08-01-20,2014-08-01-14,0,73.4,66.1,68.3,78,995.9,2,73.4,77.1,4,340,0.00,852,200,762,5
39899,2014-08-01-21,2014-08-01-15,0,75.2,62.6,66.6,65,995.5,1,75.2,78.0,4,140,0.00,748,161,770,5
39899,2014-08-01-22,2014-08-01-16,0,77.0,59.0,65.2,54,995.5,1,77.0,78.8,4,200,0.00,600,119,763,5
39899,2014-08-01-23,2014-08-01-17,0,75.2,57.2,63.7,54,995.9,1,75.2,77.5,4,210,0.00,422,86,718,5
39899,2014-08-02-00,2014-08-01-18,0,71.6,60.7,64.5,69,996.2,1,71.6,76.2,4,220,0.00,238,133,362,5
39899,2014-08-02-01,2014-08-01-19,0,69.8,60.7,63.8,73,996.5,1,69.8,69.8,6,310,0.00,67,51,155,7
39899,2014-08-02-02,2014-08-01-20,0,69.8,60.7,63.8,73,997.5,3,69.8,69.8,6,290,0.00,0,0,0,7
39899,2014-08-02-03,2014-08-01-21,0,71.6,57.1,62.2,60,997.2,23,71.6,76.2,4,330,0.00,0,0,0,5
39899,2014-08-02-04,2014-08-01-22,0,71.6,55.4,61.4,57,996.5,40,71.6,76.2,5,100,0.00,0,0,0,6
39899,2014-08-02-05,2014-08-01-23,0,71.1,54.6,59.7,56,1018.8,46,71.1,76.1,4,100,0.00,0,0,0,5
39899,2014-08-02-06,2014-08-02-00,0,68.0,60.7,63.3,78,996.2,29,68.0,68.0,4,110,0.00,0,0,0,5
39899,2014-08-02-07,2014-08-02-01,0,64.4,58.9,61.0,83,996.2,10,64.4,64.4,3,290,0.00,0,0,0,3
39899,2014-08-02-08,2014-08-02-02,0,64.4,57.1,59.7,77,996.9,20,64.4,64.4,5,290,0.00,0,0,0,6
39899,2014-08-02-09,2014-08-02-03,0,62.6,57.1,59.3,83,997.5,12,62.4,62.4,6,310,0.00,0,0,0,7
39899,2014-08-02-10,2014-08-02-04,0,64.4,57.1,59.7,77,997.9,22,64.3,64.3,7,360,0.00,0,0,0,8
39899,2014-08-02-11,2014-08-02-05,0,64.4,57.1,59.7,77,998.2,1,64.4,64.4,3,0,0.00,0,0,0,3
39899,2014-08-02-12,2014-08-02-06,0,69.8,58.9,62.8,69,998.9,1,69.8,69.8,8,360,0.00,60,51,71,9
39899,2014-08-02-13,2014-08-02-07,0,73.4,57.2,63.0,57,999.2,0,73.4,76.8,4,20,0.00,229,99,426,5
39899,2014-08-02-14,2014-08-02-08,0,75.2,55.4,62.5,50,998.9,0,75.2,77.4,2,30,0.00,419,108,645,2
39899,2014-08-02-15,2014-08-02-09,0,80.6,53.6,63.4,39,998.5,0,80.6,80.6,2,350,0.00,597,171,664,2
39899,2014-08-02-16,2014-08-02-10,0,80.6,51.9,62.7,37,998.5,0,80.6,80.6,5,0,0.00,747,171,748,6
39899,2014-08-02-17,2014-08-02-11,0,82.4,57.3,65.8,42,998.2,0,82.4,82.5,2,120,0.00,858,212,749,2
39899,2014-08-02-18,2014-08-02-12,0,82.4,55.5,65.1,40,997.9,0,82.4,82.4,3,40,0.00,918,225,764,3
39899,2014-08-02-19,2014-08-02-13,0,82.4,55.5,65.1,40,997.5,0,82.4,82.4,1,90,0.00,915,222,766,1
39899,2014-08-02-20,2014-08-02-14,0,82.4,53.7,64.0,37,997.2,2,82.4,82.4,3,40,0.00,861,200,774,3
39899,2014-08-02-21,2014-08-02-15,0,82.4,53.7,64.0,37,996.9,1,82.4,82.4,5,70,0.00,756,162,782,6
39899,2014-08-02-22,2014-08-02-16,0,80.6,51.9,62.7,37,996.9,1,80.6,80.6,6,80,0.00,604,125,764,7
39899,2014-08-02-23,2014-08-02-17,0,80.6,51.9,62.7,37,996.9,1,80.6,80.6,7,60,0.00,429,69,773,8
39899,2014-08-03-00,2014-08-02-18,0,77.0,53.6,62.2,44,996.9,0,77.0,78.0,7,110,0.00,239,112,444,8
39899,2014-08-03-01,2014-08-02-19,0,75.2,53.6,61.7,47,997.2,0,75.2,77.2,6,120,0.00,67,47,192,7
39899,2014-08-03-02,2014-08-02-20,0,75.2,53.6,61.7,47,997.5,0,75.2,77.2,6,160,0.00,0,0,0,7
39899,2014-08-03-03,2014-08-02-21,0,73.4,55.4,61.9,53,997.5,26,73.4,76.6,3,0,0.00,0,0,0,3
39899,2014-08-03-04,2014-08-02-22,0,73.4,55.4,61.9,53,997.9,36,73.4,76.6,4,0,0.00,0,0,0,5
39899,2014-08-03-05,2014-08-02-23,0,71.6,57.1,62.2,60,997.9,35,71.6,76.2,5,0,0.00,0,0,0,6
39899,2014-08-03-06,2014-08-03-00,0,69.8,57.1,61.6,64,997.9,8,69.8,69.8,4,0,0.00,0,0,0,5
39899,2014-08-03-07,2014-08-03-01,0,69.8,55.3,60.7,60,997.5,0,69.8,69.8,4,0,0.00,0,0,0,5
39899,2014-08-03-08,2014-08-03-02,0,66.2,57.1,60.5,73,997.9,0,66.2,66.2,4,0,0.00,0,0,0,5
39899,2014-08-03-09,2014-08-03-03,0,68.0,57.1,61.0,68,997.9,0,68.0,68.0,7,0,0.00,0,0,0,8
39899,2014-08-03-10,2014-08-03-04,0,66.2,55.3,59.4,68,997.9,4,66.2,66.2,6,0,0.00,0,0,0,7
39899,2014-08-03-11,2014-08-03-05,0,69.8,57.1,61.6,64,998.2,6,69.8,69.8,6,200,0.00,0,0,0,7
